,p-value
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_AlignACE_3,0.0
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_MDscan_1,0.0
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_MDscan_2,0.0
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_MEME_3,0.0
TATA_TAF7_K562_encode-Myers_seq_hsa_v041610.1-SQ-8_Trawler_2,0.0
TATA_TBP_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_AlignACE_2,0.0
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_AlignACE_1,0.0
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_AlignACE_3,0.0
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_MEME_2,0.0
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_AlignACE_1,0.0
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_AlignACE_2,0.0
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_AlignACE_3,0.0
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_MEME_1,0.0
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_MEME_2,0.0
TATA_TBP_H1-hESC_encode-Snyder_seq_hsa_MEME_3,0.0
TATA_TBP_GM12878_encode-Snyder_seq_hsa_IgG-mus_AlignACE_2,0.0
TATA_TAF1_H1-hESC_encode-Myers_seq_hsa_AlignACE_2,0.0
TATA_TBP_K562_encode-Snyder_seq_hsa_IgG-mus_Trawler_3,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_Weeder_3,0.0
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_AlignACE_3,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_MEME_1,0.0
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_MDscan_1,0.0
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_MDscan_2,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_Weeder_2,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_Weeder_1,0.0
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_MDscan_3,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_MDscan_3,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_AlignACE_1,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_AlignACE_2,0.0
TATA_GTF2F1_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-RAP-74_AlignACE_2,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_AlignACE_3,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_AlignACE_2,0.0
TATA_TAF1_GM12892_encode-Myers_seq_hsa_AlignACE_1,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_MDscan_2,0.0
TATA_GTF2F1_K562_encode-Snyder_seq_hsa_IgG-rab-RAP-74_AlignACE_1,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_MDscan_3,0.0
TATA_GTF2F1_K562_encode-Snyder_seq_hsa_IgG-rab-RAP-74_AlignACE_2,0.0
TATA_TAF1_GM12891_encode-Myers_seq_hsa_Weeder_3,0.0
