,p-value
AP1_FOSL1_K562_encode-Myers_seq_hsa_v041610.1-SC-183_MDscan_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNa6h_MEME_2,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_AlignACE_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg6h_AlignACE_1,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_MEME_1,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_MDscan_3,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,0.0
AP1_FOS_HeLa-S3_encode-Snyder_seq_hsa_MDscan_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_Trawler_2,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg30_AlignACE_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNa6h_MDscan_2,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_Weeder_3,0.0
AP1_FOSL1_K562_encode-Myers_seq_hsa_v041610.1-SC-183_AlignACE_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_MDscan_1,0.0
AP1_FOS_K562_encode-White_seq_hsa_eGFP_Trawler_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg30_MEME_2,0.0
AP1_FOS_K562_encode-White_seq_hsa_eGFP_MEME_2,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg30_MEME_1,0.0
AP1_FOS_K562_encode-White_seq_hsa_eGFP_MEME_1,0.0
AP1_FOS_K562_encode-White_seq_hsa_eGFP_MDscan_2,0.0
AP1_FOS_K562_encode-White_seq_hsa_eGFP_MDscan_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg30_MDscan_3,0.0
AP1_FOS_K562_encode-White_seq_hsa_eGFP_MDscan_3,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_MDscan_3,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_Weeder_2,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_MDscan_2,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_MEME_2,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_MEME_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg30_MDscan_1,0.0
AP1_FOS_K562_encode-White_seq_hsa_eGFP_AlignACE_1,0.0
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg30_MDscan_2,0.0
AP1_JUND_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_2,4.2461474607804284e-297
AP1_JUND_GM12878_encode-Snyder_seq_hsa_Trawler_3,4.4607148066389215e-234
AP1_FOSL2_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_1,4.091210107928337e-203
AP1_JUN_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_1,6.823685963531745e-175
AP1_JUN_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_2,1.2836383171703718e-163
AP1_JUND_HepG2_encode-Snyder_seq_hsa_IgG-rab_MEME_2,1.1515931770642457e-153
AP1_JUND_K562_encode-Snyder_seq_hsa_MEME_1,5.208913458541908e-147
AP1_JUN_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MEME_3,3.336151275728386e-145
AP1_JUND_K562_encode-Snyder_seq_hsa_MEME_2,8.812837475339885e-142
AP1_JUNB_K562_encode-White_seq_hsa_eGFP_Trawler_2,6.123994343990954e-141
AP1_JUN_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MEME_2,2.3216389255055785e-136
AP1_JUND_HepG2_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,8.571764280795785e-136
AP1_FOSL2_HepG2_encode-Myers_seq_hsa_v041610.1_Trawler_2,8.253241821673153e-133
AP1_JUND_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab_Trawler_1,4.806207770935913e-132
AP1_JUND_K562_encode-Snyder_seq_hsa_MDscan_1,1.718457937262814e-127
AP1_JUN_K562_encode-Snyder_seq_hsa_IFNg30_Trawler_2,6.988655519693701e-127
AP1_JUN_H1-hESC_encode-Snyder_seq_hsa_IgG-rab_MDscan_1,1.8801113013181094e-126
