,p-value
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_MEME_1,0.0
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_MEME_2,0.0
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_MDscan_1,6.524598428182753e-276
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_AlignACE_1,8.670695225988916e-262
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_MDscan_2,5.0805967708736947e-228
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_Trawler_2,2.6939125280784453e-150
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_Trawler_3,5.02320697387306e-100
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_Trawler_1,1.1257743849359445e-10
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_AlignACE_3,0.007667080077760481
POU5F1_POU5F1_H1-hESC_encode-Myers_seq_hsa_v041610.2-SC-9081_AlignACE_2,0.03444290041043323
