,p-value
EP300_EP300_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_1,2.599026293655632e-05
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_1,3.400106172309689e-05
EP300_EP300_HepG2_encode-Myers_seq_hsa_v041610.1_MEME_2,0.007333887438739402
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_Trawler_2,0.009570114377488283
EP300_EP300_HepG2_encode-Myers_seq_hsa_MDscan_2,0.00971709726384477
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_Trawler_1,0.09318925840463982
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_3,0.13271448883114983
EP300_EP300_SK-N-SH-RA_encode-Myers_seq_hsa_v041610.2_MEME_2,0.17877383940303998
EP300_EP300_GM12878_encode-Myers_seq_hsa_Trawler_2,0.2583923383752622
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_2,0.39830513061562245
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_AlignACE_3,0.3991963555764393
EP300_EP300_H1-hESC_encode-Myers_seq_hsa_v041610.2_MDscan_1,0.9141017095247882
EP300_EP300_HeLa-S3_encode-Snyder_seq_hsa_IgG-rab-N-15_Trawler_3,1.0
EP300_EP300_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2_Trawler_2,
