,p-value
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_Trawler_2,8.253846823587026e-32
GATA_GATA2_HUVEC_encode-Snyder_seq_hsa_MEME_2,1.1053546910015533e-31
GATA_GATA3_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-SC-268_Trawler_3,1.3921588196783494e-26
GATA_GATA1_K562b_encode-Snyder_seq_hsa_Trawler_2,1.5899459345961799e-23
GATA_GATA3_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-SC-268_Trawler_2,1.5962645441515716e-22
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_Trawler_3,8.713343905351587e-20
GATA_GATA1_PBDE_encode-Snyder_seq_hsa_MEME_3,1.6868695562188304e-17
GATA_GATA2_K562b_encode-Snyder_seq_hsa_Trawler_3,1.7252189826001472e-08
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_Trawler_2,1.771964697741494e-07
GATA_GATA1_PBDE_encode-Snyder_seq_hsa_MEME_2,2.0452931169297913e-07
GATA_GATA1_K562b_encode-Snyder_seq_hsa_Trawler_1,4.0028542783725424e-07
GATA_GATA3_T-47D_encode-Myers_seq_hsa_DMSO-0.02pct-v041610.2-SC-268_Trawler_1,1.834059870865941e-05
GATA_GATA1_PBDE_encode-Snyder_seq_hsa_MEME_1,0.0002214418236793174
GATA_GATA1_K562b_encode-Snyder_seq_hsa_Trawler_3,0.000269090032852922
GATA_GATA2_K562_encode-Myers_seq_hsa_CG2-96_Trawler_3,0.0011382821369738938
GATA_GATA2_K562b_encode-Snyder_seq_hsa_Trawler_1,0.014020683183446287
GATA_GATA2_K562_encode-White_seq_hsa_eGFP_Trawler_1,0.37670185393729216
